Station No,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,NOTA,Total Valid,Total
1,2,218,123,1,0,1,14,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,363,367
2,2,139,127,0,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,3,297,300
3,2,203,134,1,1,0,32,0,1,0,2,1,1,0,0,0,1,0,1,1,2,0,0,5,383,388
4,3,242,136,1,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,398,401
5,1,252,158,2,0,0,16,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,6,439,445
6,2,144,218,1,0,1,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,390,395
7,4,245,172,1,0,1,31,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,8,461,469
8,3,192,126,0,0,1,18,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,344,349
9,1,195,230,2,0,1,31,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,4,469,473
10,2,165,246,0,0,0,22,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,3,441,444
